VehicleInfo; Vin; InventoryStatus; VehicleSaleType; DateInStock; DaysInStock; StockNumber; Color; Mileage; Location; IsNoPrice; IsNoOdometer; IsNoPhotos; IsNoDescription; IsNeedsRepricing; IsNoAutoCheck; HasActiveDeposit; CustomStatus; InspectionStatus; EmissionStatus; IgnitionCode; ValetKeyCode; DoorKeyCode; AutoCheckScore; AutoCheckScoreLow; AutoCheckScoreHigh; NumOfOwners; NumOfAccident; Assured; HasOdomoter; HasTitleBrand; PurchaseType; PurchasedFrom; TitleStatus; MinDown; MinDeposit; VehiclePrice; PercentageOfMarket; MarketDaysSupply; AskingPrice; AdvertisingPrice; SpecialPrice; SpecialPriceStartDate; SpecialPriceEndDate; WholesalePrice; FloorPrice; BuyNowPrice; StartingBidPrice; BidIncrement; TotalCostForUI; Water; VehicleCost; TotalAdds; TotalPacks; TotalWriteDowns; AddedCost; ActualFlooringCost; EstimatedFlooringCost; BookValue1; BookValue2; BookValue3; BelowMarketAvgPrice; BelowKelleyPrice; BelowNadaPrice; BelowBlackBookPrice; BelowManheimPrice; Tags
2023 KIA SPORTAGE EX SPORT UTILITY 4D;5XYK3CAF5PG015280;IN INVENTORY;BOTH;05/01/2026 00:00;0;353;GRAY;40930;;True;False;False;True;;True;False;;;;;;;;;;0;0;;;;;;NOT RECEIVED;0;0;0;0;0;0;0;0;;;0;;;;;22185;-2465;22185;0;0;0;0;0;0;22050;19900;24650;;;;;;
2019 GMC SIERRA 1500 DOUBLE CAB ELEVATION PICKUP 4D 6 1/2 FT;1GTR9CEDXKZ387293;IN INVENTORY;BOTH;05/01/2026 00:00;0;352;BLUE;83518;;True;False;False;True;;True;False;;;;;;;;;;0;0;;;;;;NOT RECEIVED;0;0;0;0;0;0;0;0;;;0;;;;;24210;-3915;24210;0;0;0;0;0;0;23675;21475;28125;;;;;;
2016 FORD F150 SUPERCREW CAB XLT PICKUP 4D 6 1/2 FT;1FTFW1EG6GFC54078;IN INVENTORY;BOTH;05/01/2026 00:00;0;350;WHITE;116622;;True;False;False;True;;True;False;;;;;;;;;;0;0;;;;;;NOT RECEIVED;0;0;0;0;0;0;0;0;;;0;;;;;16620;-3680;16620;0;0;0;0;0;0;17400;15900;20300;;;;;;
2020 GMC SIERRA 1500 CREW CAB SLE PICKUP 4D 5 3/4 FT;3GTU9BEDXLG416300;IN INVENTORY;BOTH;05/01/2026 00:00;0;351;BLACK;90555;;True;False;False;True;;True;False;;;;;;;;;;0;0;;;;;;NOT RECEIVED;0;0;0;0;0;0;0;0;;;0;;;;;25225;0;25225;0;0;0;0;0;0;25300;22775;29650;;;;;;
2016 JEEP CHEROKEE 75TH ANNIVERSARY SPORT UTILITY 4D;1C4PJMCSXGW309661;IN INVENTORY;BOTH;04/29/2026 00:00:00;2;349;;77758;;True;False;False;True;;True;False;;;;;;;;;;0;0;;;;;;NOT RECEIVED;0;0;0;0;0;0;0;0;;;0;;;;;9000;-4225;9000;0;0;0;0;0;0;12225;11425;13225;;;;;;
2023 JEEP WRANGLER 4XE WILLYS 4XE SPORT UTILITY 4D;1C4JJXN66PW692831;IN INVENTORY;BOTH;04/27/2026 00:00:00;4;348;BLACK;52008;;True;False;False;True;;True;False;SOLD;;;;;;;;;0;0;;;;;;NOT RECEIVED;0;0;0;0;0;0;0;0;;;0;;;;;25486.5;-2638.5;24565;921.5;0;0;0;0;0;22700;20350;28125;;;;;;
2022 FORD RANGER SUPERCREW XL PICKUP 4D 5 FT;1FTER4FH0NLD14690;IN INVENTORY;BOTH;04/25/2026 00:00:00;6;346;GRAY;43465;;True;False;False;True;;True;False;;;;;;;;;;0;0;;;;;;NOT RECEIVED;0;0;0;0;0;0;0;0;;;0;;;;;0;-28425;0;0;0;0;0;0;0;24225;21950;28425;;;;;;
2024 JEEP GRAND CHEROKEE 4XE SPORT UTILITY 4D;1C4RJYB6XRC710491;IN INVENTORY;BOTH;04/25/2026 00:00:00;6;345;RED;57000;;True;False;False;True;;True;False;;;;;;;;;;0;0;;;;;;NOT RECEIVED;0;0;0;0;0;0;0;0;;;0;;;;;0;-27275;0;0;0;0;0;0;0;23900;21375;27275;;;;;;
2021 CADILLAC ESCALADE ESV SPORT SUV 4D;1GYS4PKL4MR269241;IN INVENTORY;BOTH;04/22/2026 00:00:00;9;343;BLACK;92766;;True;False;False;True;;True;False;;;;;;;;;;0;0;;;;;;NOT RECEIVED;0;0;0;0;0;0;0;0;;;0;;;;;47275;-6250;45630;1645;0;0;0;0;0;47775;42775;53525;;;;;;
2013 HYUNDAI ELANTRA GLS SEDAN 4D;5NPDH4AE7DH264112;IN INVENTORY;BOTH;04/21/2026 00:00:00;10;342;BLACK;115000;;True;False;False;True;;True;False;;;;;;;;;;0;0;;;;;;NOT RECEIVED;0;0;0;0;0;0;0;0;;;0;;;;;0;-8600;0;0;0;0;0;0;0;5250;4925;8600;;;;;;
2017 FORD EXPLORER XLT SPORT UTILITY 4D;1FM5K8D83HGA26489;IN INVENTORY;BOTH;04/18/2026 00:00:00;13;341;BLUE;112420;;True;False;False;True;;True;False;;;;;;;;;;0;0;;;;TRADE-IN;MARIAJOAO MONIZ CORREIA 5765;NOT RECEIVED;0;0;0;0;0;0;0;0;;;0;;;;;15961;15961;15961;0;0;0;0;0;0;8750;7900;11025;;;;;;
2020 NISSAN ROGUE SPORT SV SPORT UTILITY 4D;JN1BJ1CW0LW392459;IN INVENTORY;BOTH;04/14/2026 00:00:00;17;334;;86256;;True;False;False;True;;True;False;;;;;;;;;;0;0;;;;;;NOT RECEIVED;0;0;0;0;0;0;0;0;;;0;;;;;12600;-2175;12600;0;0;0;0;0;0;10675;9600;14775;;;;;;
2014 FORD ESCAPE TITANIUM SPORT UTILITY 4D;1FMCU9J99EUA88142;IN INVENTORY;BOTH;04/14/2026 00:00:00;17;340;;154000;;True;False;False;True;;True;False;;;;;;;;;;0;0;;;;TRADE-IN;FILLIPE MAURICIO GOMES DOS SANTOS 1767;NOT RECEIVED;0;0;0;0;0;0;0;0;;;0;;;;;7719.75;7719.75;7707;12.75;0;0;0;0;0;5825;5250;7200;;;;;;
2021 HONDA ACCORD SPORT SEDAN 4D;1HGCV1F3XMA005102;IN INVENTORY;BOTH;04/10/2026 00:00;21;333;BLACK;81724;;True;False;False;True;;True;False;;;;;;;;;;0;0;;;;;;NOT RECEIVED;0;0;0;0;0;0;0;0;;;0;;;;;18875;-975;18750;125;0;0;0;0;0;17075;15300;19850;;;;;;
2023 HONDA HR-V EX-L SPORT UTILITY 4D;3CZRZ2H74PM730733;IN INVENTORY;BOTH;04/10/2026 00:00;21;331;BLACK;30366;;True;False;False;True;;True;False;;;;;;;;;;0;0;;;;;;NOT RECEIVED;0;0;0;0;0;0;0;0;;;0;;;;;23130.76;-4.594.240.000.000.000;22600;530.76;0;0;0;0;0;25350;22925;27725;;;;;;
2021 HONDA HR-V EX-L SPORT UTILITY 4D;3CZRU6H75MM744271;IN INVENTORY;BOTH;04/10/2026 00:00;21;330;GRAY;67617;;True;False;False;True;;True;False;;;;;;;;;;0;0;;;;;;NOT RECEIVED;0;0;0;0;0;0;0;0;;;0;;;;;18650;-3025;18300;350;0;0;0;0;0;18250;16450;21675;;;;;;
2024 FORD EDGE SEL SPORT UTILITY 4D;2FMPK4J9XRBA67533;IN INVENTORY;BOTH;04/10/2026 00:00;21;329;WHITE;56946;;True;False;False;True;;True;False;;;;;;;;;;0;0;;;;;;NOT RECEIVED;0;0;0;0;0;0;0;0;;;0;;;;;18500;-5275;18500;0;0;0;0;0;0;20650;18425;23775;;;;;;
2010 TOYOTA CAMRY LE SEDAN 4D;4T4BF3EK4AR024882;IN INVENTORY;BOTH;04/08/2026 00:00;23;320;;252650;;True;False;False;True;;True;False;;;;;;;;;;0;0;;;;TRADE-IN;BRUNO MIGUEL GOMES DE LACERDA ;NOT RECEIVED;0;0;0;0;0;0;0;0;;;0;;;;;4000;4000;4000;0;0;0;0;0;0;2565;2140;5865;;;;;;
2022 CHEVROLET SILVERADO 1500 CREW CAB HIGH COUNTRY PICKUP 4D 5 3/4 FT;3GCUDJED0NG510407;IN INVENTORY;BOTH;04/03/2026 00:00;28;319;BLUE;86531;;True;False;False;True;;True;False;;;;;;;;;;0;0;;;;;;NOT RECEIVED;0;0;0;0;0;0;0;0;;;0;;;;;34549.81;-8.550.190.000.000.000;33035;1514.81;0;0;0;0;0;36875;33000;43100;;;;;;
2020 FORD EXPLORER XLT SPORT UTILITY 4D;1FMSK8DH9LGA66961;IN INVENTORY;BOTH;04/03/2026 00:00;28;317;BURGUNDY;84701;;True;False;False;True;;True;False;;;;;;;;;;0;0;;;;;;NOT RECEIVED;0;0;0;0;0;0;0;0;;;0;;;;;20285;235;19860;425;0;0;0;0;0;16725;15075;20050;;;;;;
2020 FORD ESCAPE TITANIUM SPORT UTILITY 4D;1FMCU9J92LUB91657;IN INVENTORY;BOTH;04/02/2026 00:00;29;314;;88046;;True;False;False;True;;True;False;;;;;;;;;;0;0;;;;TRADE-IN;JORDAN JAMES 8687;NOT RECEIVED;0;0;0;0;0;0;0;0;;;0;;;;;15355;15355;15355;0;0;0;0;0;0;11925;10725;16375;;;;;;
2020 FORD MUSTANG GT COUPE 2D;1FA6P8CF2L5191180;IN INVENTORY;RETAIL;03/31/2026 00:00:00;31;315;;28993;;True;False;False;True;;True;False;;;;;;;;;;0;0;;;;;;NOT RECEIVED;0;0;0;0;0;0;0;0;;;0;;;;;29765;0;28940;825;0;0;0;0;0;27050;24800;33900;;;;;;
2023 FORD EDGE SEL SPORT UTILITY 4D;2FMPK4J93PBA21751;IN INVENTORY;BOTH;03/25/2026 00:00:00;37;302;GRAY;49348;;True;False;False;True;;True;False;;;;;;;;;;0;0;;;;;;NOT RECEIVED;0;0;0;0;0;0;0;0;;;0;;;;;21240;-2460;20815;425;0;0;0;0;0;20425;18400;23700;;;;;;
2020 AUDI Q8 55 TFSI PREMIUM PLUS SPORT UTILITY 4D;WA1EVAF16LD025019;IN INVENTORY;BOTH;03/25/2026 00:00:00;37;500;WHITE;83500;;True;False;False;True;;True;False;;;;;;;;;;0;0;;;;;;NOT RECEIVED;0;0;0;0;0;0;0;0;;;0;;;;;0;-30125;0;0;0;0;0;0;0;26750;24075;30125;;;;;;
2014 BUICK ENCLAVE PREMIUM SPORT UTILITY 4D;5GAKVCKD5EJ285552;IN INVENTORY;BOTH;04/10/2026 00:00;21;316;;0;;True;True;False;True;;True;False;;;;;;;;;;0;0;;;;TRADE-IN;MARIANGELIS GARCIA ROSARIO 2405;NOT RECEIVED;0;0;0;0;0;0;0;0;;;0;;;;;1500;-5725;1500;0;0;0;0;0;0;4775;4300;7225;;;;;;
2021 RAM 1500 CREW CAB BIG HORN PICKUP 4D 5 1/2 FT;1C6SRFFT8MN591374;IN INVENTORY;BOTH;03/18/2026 00:00:00;44;300;BLACK;81067;;True;False;False;True;;True;False;;;;;;;;;;0;0;;;;;;NOT RECEIVED;0;0;0;0;0;0;0;0;;;0;;;;;31074.01;-7.509.900.000.000.010;29870;1204.01;0;0;0;0;0;28025;25175;31825;;;;;;
2018 HONDA CR-V LX SPORT UTILITY 4D;2HKRW6H34JH224724;IN INVENTORY;BOTH;03/18/2026 00:00:00;44;298;BLACK;77490;;True;False;False;True;;True;False;;;;;;;;;;0;0;;;;;;NOT RECEIVED;0;0;0;0;0;0;0;0;;;0;;;;;17070;-55;16770;300;0;0;0;0;0;15025;13700;17125;;;;;;
2020 GMC SIERRA 1500 CREW CAB ELEVATION PICKUP 4D 5 3/4 FT;3GTP9CEKXLG441702;IN INVENTORY;BOTH;03/23/2026 00:00:00;39;285;BLUE;96887;;True;False;False;True;;True;False;;;;;;;;;;0;0;;;;;;NOT RECEIVED;0;0;0;0;0;0;0;0;;;0;;;;;184.52;-28440.48;0;184.52;0;0;0;0;0;24425;21775;28625;;;;;;
2020 FORD EXPLORER XLT SPORT UTILITY 4D;1FMSK8DH3LGA21711;IN INVENTORY;BOTH;04/08/2026 00:00;23;323;BLACK;98168;;True;False;False;True;;True;False;;;;;;;;;;0;0;;;;;;NOT RECEIVED;0;0;0;0;0;0;0;0;;;0;;;;;17425;-1250;16925;500;0;0;0;0;0;15350;13700;18675;;;;;;
